100,2,242700,4394229.48,0
101217,1,25889,5457733.28,0
1033551,4,31075,387462.48,0
1046540,1,16764,422199.68,0
105152,1,26254,2154461.02,0
1055,1,1635,37.46,0
1055765,5,8377,1100319.94,0
1059431,5,5414,3081374.88,0
1078273,5,6989,115643.6,0
1107098,5,16080,225740.2,0
1114216,2,16566,438124.8,0
1151345,1,21259,113397,0
1166326,1,16909,17612,0
1170082,2,10948,2763174.6,0
1174291,1,20984,1643827.28,0
1174353,2,35503,3922584.7,0
1174948,1,6552,147192.78,0
117754,3,14600,1148512.48,0
1185644,5,11412,1842091.1,1
1194762,1,4528,1386,0
1218414,1,25878,109415.58,0
122024,1,72818,6991741.18,0
122402,2,175797,34204061.06,1
1226741,4,32056,2433749.3,1
123351,1,9832,1158327.9,0
1238686,1,4694,1002,0
1259625,1,5728,38778,0
1259629,1,7139,235202.5,0
1275878,1,106820,7568240.9,0
131977,1,34866,6000573.52,1
1340053,5,27010,1389369.24,0
1345299,5,132636,11323428.88,1
1345550,1,27732,1578390.3,0
1377498,5,6363,1291664.54,0
1382531,3,8277,331684.4,0
1392210,1,23683,577297.54,0
1406692,1,5669,11041,0
1420538,1,6016,12503,0
1424327,5,6386,775075.78,0
14317,1,20395,837004.7,0
1443964,3,53639,1829498.52,0
1461129,2,17433,267058.72,0
1473221,1,15095,219722.7,0
1488293,6,35294,1726538.64,0
1523780,1,12587,574194.72,0
1525851,2,54715,1206298.92,0
1569773,1,35665,687540.86,0
1571223,5,41222,3083776.38,0
159854,1,14534,72805.5,0
1642665,1,14763,264029.8,0
1675620,5,12999,140483,0
1693612,2,6986,266153,0
1711892,1,500,2884,0
1746258,3,40454,1784965.04,1
1746607,6,18260,221373.8,0
1746622,1,18265,842235.4,0
1746670,6,21059,260991.3,0
1746678,1,5690,352832.1,0
1746684,6,20538,369704.5,0
1746691,1,32955,394048.24,0
1746696,1,27427,467709.22,0
1746707,1,7340,243724.1,0
1746730,1,21431,212161.1,0
1746741,1,21071,311776.8,0
1746775,1,21295,186845,0
1746796,6,6028,225445,0
1746812,1,9626,132486.5,0
1746903,6,5452,466548.04,0
1746916,1,6183,241230.8,0
1746926,1,5431,245568,0
1746940,2,5686,280881.6,0
1746946,1,6663,302396.3,0
1746956,6,23976,304216,0
1746964,6,32587,456856.26,0
1746967,1,37685,404616.42,0
1746975,3,21021,269722.76,0
1746982,1,37145,345892.36,0
1746986,1,16280,126088,0
1746992,5,6679,171745,0
1747020,6,5645,240211.2,0
1747037,4,30959,2814540,0
1747046,6,12535,986759.9,0
1747058,1,17448,123235,0
1747064,1,15668,299357.3,0
1747073,4,30678,303940,0
1747082,1,14127,184102,0
1747098,5,20804,549044.6,0
1747104,1,27345,400158.96,0
1747109,3,8935,245916.2,0
1747118,5,11574,280689,0
1756941,5,73532,4962815.7,1
1762318,1,71,133.3,0
17732,1,25285,9746415.1,1
1783144,1,27620,387121.8,0
1789753,1,2982,5881,0
18065,1,17551,127497.2,0
181680,5,19800,901586.86,0
1818574,5,61577,8795833.06,1
182190,1,16482,607270.22,0
184011,5,10393,553257.44,0
184972,5,220413,48197704.08,1
1863767,4,5366141,4839235.5,1
1877962,1,18689,608504.5,0
1879439,1,15106,845312.8,0
1890812,1,3519,40682,0
19002,1,290654,9502137.8,1
1905213,1,11088,159111.2,0
1906863,4,13703,202348.3,0
1909816,1,3916,4248,0
1918229,3,6214,228582,0
1918702,5,15100,140914.2,0
1927496,2,46287,1279049.2,1
194702,5,12826,2547423.72,0
1949572,1,6604,34770,0
1953492,1,9141,14259,0
1955264,1,19428,311034.94,0
1985471,1,4483,721085.32,0
1994725,1,20533,112463.2,0
20415,2,80193,9398392.26,1
2048877,5,10285,661704.1,0
206858,3,142028,15507402.92,1
2080088,2,5576,1748611.5,0
211561,2,13059,2550462.34,0
2132902,3,131037,8317530.92,0
213312,1,774,5,0
2150758,5,564740,21509962.76,1
2170535,1,291,4619,0
217344,1,12108,547564.1,0
218859,1,202754,23529270.42,1
2196112,1,4699,10666,0
2203134,1,15920,345390.24,0
2213717,1,2451,4346.4,0
221800,5,20198,1809569.36,0
2219893,5,9924,96964,0
2221685,1,2435,8271,0
222286,1,16865,1537080.3,0
2223446,2,13418,687064.2,0
2226599,6,5367,148879.3,0
223521,2,32715,1193867.3,0
2236160,1,5740,324284.7,0
2255521,2,20192,1264287.32,0
2263058,2,8662,373056.7,0
2266528,5,4548,651003.36,0
227209,1,12118,14461.1,0
2274388,1,124,1,0
2276636,1,2997,14712.84,0
227670,1,17523,998815.42,0
2280784,1,3070,7186,0
2280858,1,3919,70158.5,0
230977,1,21089,806410.96,0
231464,3,31145,7085761.3,1
2320076,1,23228,1106701.24,0
2320825,5,8348,227637.22,0
2347539,4,11164,1077662.6,0
235442,1,20839,388068.8,0
2372385,1,8094,580184.72,0
2376085,1,3656,10072,0
2402044,5,353504,24673604.08,1
2406708,1,11243,578119.8,0
2422087,5,29967,2047036.9,1
2426302,1,6428,128771.4,0
2430168,5,17049,1000870.08,0
2436390,2,6201,297895.6,0
2454554,6,7756,162587.6,0
247565,1,16399,284484.04,0
248753,1,94273,24908776.42,0
2488840,1,2488,77394,0
2489820,1,5261,19058,0
249818,2,3572,501171.1,0
252308,1,21262,90719.7,0
252802,1,188408,22006261,1
2543831,1,13719,153161,0
2561342,5,19852,381891.9,0
259676,5,110710,25119895.1,1
260322,1,40403,4656141.78,0
2623035,2,31670,229947.06,0
263824,2,39586,2169060.02,1
2644306,1,9749,186725.6,0
