713380,938,7602.596273,322216,2126018851,1
229694,399,13210.65344,377932,1917999473,1
45429,225,6335.488098,172019,1609915120,1
796536,754,14686.9144,1924628,1568156102,1
71538,17,3912.856285,439885,1525800908,1
1230460,3926,13834.1755,1951038,1416092768,1
21464,1021,11880.61871,116019,1411785487,1
124362,530,9210.289166,849083,1092586033,1
79628,471,7636.982913,224053,1091650659,1
143203,32,5227.745514,41206,835017926,1
587233,803,12096.19699,2407900,681174564,1
12671,32,4138.08524,128738,678033771,1
63747,65,4767.762834,109985,622984722,1
129903,104,7511.216706,559168,591767153,1
223660,6,3054.234685,220306,591187484,1
43195,275,4177.630417,168776,581060950,1
6723,104,6097.690348,58316,580481122,1
911481,555,10486.02987,2576124,562290657,1
115854,65,4830.571027,415488,559356580,1
104432,33,4651.322045,1027582,556817525,1
6039,9,3368.788945,85628,507523609,1
103042,590,6056.390609,780363,490541390,1
301854,733,5944.194325,128012,473798969,1
462275,54,4629.188898,273891,464319746,1
27819,111,4184.159183,85244,462110436,1
19562,90,7678.837293,82733,452242926,1
45450,46,3962.284963,583538,439052287,1
38087,130,2881.868308,83002,437150844,1
28781,484,3983.165829,13785,435729457,1
25153,101,4484.516404,240571,432321470,1
383473,176,7168.896473,1118499,428362170,1
137302,317,5482.683853,728361,426677540,1
30077,21,5100.376015,190716,424706880,1
2672,5,4060.85063,130513,405458359,1
83281,39,5912.817531,794235,402563902,1
1339240,614,9814.939954,2344198,401470714,1
246001,287,4355.401445,310150,384195004,1
155111,34,5922.004232,1048167,375249771,1
14570,195,3206.182272,31598,371721853,1
16811,1978,7271.867906,130758,361593951,1
77242,32,1985.995911,97899,357979122,1
59639,96,4843.787211,429116,356342035,1
416034,128,5165.017645,433235,345133578,1
18060,17,3561.539293,229748,328999686,1
42373,54,9299.919936,449763,321205418,1
2587,18,3400.787097,75962,320124102,1
13228,19,2556.988484,27879,317118624,1
21227,30,2458.84484,52165,313866664,1
7335,3,2583.424423,128778,313445414,1
2134,31,3880.473076,59422,310793901,1
8649,18,3691.754881,305535,310088758,1
2600,92,3802.480176,71830,309278453,1
67880,242,4625.138041,210000,306287812,1
181798,45,4580.115379,181350,297719851,1
18110,17,3386.771011,59064,295438381,1
52170,186,5079.732441,105436,293607323,1
7061,30,2579.92767,14354,282655026,1
27465,187,3942.849347,285260,279028759,1
4373,321,5142.423316,20269,278590701,1
32188,75,2477.568901,146045,276850012,1
127619,784,3577.084381,276963,266656566,1
21776,24,2485.58261,11531,262520522,1
43127,886,5922.542531,164636,262271786,1
2886,4,3310.439644,79360,258112871,1
46630,93,2257.505511,79186,257491667,1
43844,74,3036.80627,65293,252953977,1
